taxonID,relatedTaxonID,relatedTaxonScientificName,type,referenceID,remarks,relatedTaxonLink,relatedTaxonOrder,relatedTaxonFamily,relatedTaxonFullName,relatedTaxonHTMLName
1812,,Actia panamensis,has parasitoid,,,https://www.catalogue.life/data/taxon/970ac56b-c040-495c-a473-fbc1c2877af4,Diptera,Tachinidae,"Actia panamensis Curran, 1933","<i>Actia panamensis</i> Curran, 1933"
2134,,Conura quadrilineata,has parasitoid,,,,Hymenoptera,Chalcididae,"Conura quadrilineata Cameron, 1913","<i>Conura quadrilineata</i> Cameron, 1913"
1663,,Cotesia spuria,has parasitoid,,as Apanteles spurius,https://www.catalogue.life/data/taxon/7382c7e9-cad2-4417-9a21-96f8bc93d4a8,Hymenoptera,Braconidae,"Cotesia spuria (Wesmael, 1837)","<i>Cotesia spuria</i> (Wesmael, 1837)"
1663,,Sinophorus turionum,has parasitoid,1892,as Sinophorus turionus,https://www.catalogue.life/data/taxon/4a27b919-9f72-4d5f-8d20-954142cc061d,Hymenoptera,Ichneumonidae,"Sinophorus turionum (Ratzeburg, 1844)","<i>Sinophorus turionum</i> (Ratzeburg, 1844)"
1663,,Scambus brevicornis,has parasitoid,1892,,https://www.catalogue.life/data/taxon/dd8b19a8-18d3-456b-83f9-2adde78810d8,Hymenoptera,Ichneumonidae,"Scambus brevicornis (Gravenhorst, 1829)","<i>Scambus brevicornis</i> (Gravenhorst, 1829)"
1663,,Nilea palesoidea,has parasitoid,1892,as Pseudoperichaeta palesoidea,https://www.catalogue.life/data/taxon/9ccfacac-a66d-467a-93ad-2d3bca0be8e9,Diptera,Tachinidae,"Nilea palesoidea (Robineau-Desvoidy, 1830)","<i>Nilea palesoidea</i> (Robineau-Desvoidy, 1830)"
413,,Heterischnus filiformis,has parasitoid,,,https://www.catalogue.life/data/taxon/7b5fc16e-a220-49dd-ac3c-8eaaffe86826,Hymenoptera,Ichneumonidae,"Heterischnus filiformis (Gravenhorst, 1829)","<i>Heterischnus filiformis</i> (Gravenhorst, 1829)"
408,,Aleiodes,has parasitoid,,"Aleiodes \"pterophorae\" spec. nov. (Col d’Ey) (Det. C van Achterberg)",https://www.catalogue.life/data/taxon/4f8f622a-6b31-46ea-b592-a51ba55327e9,Hymenoptera,Braconidae,Aleiodes,<i>Aleiodes</i>
400,,Ageniaspis,has parasitoid,,,https://www.catalogue.life/data/taxon/247214c0-d5d4-4f80-9221-ded096bee2ff,Hymenoptera,Encyrtidae,Ageniaspis,<i>Ageniaspis</i>
338,,Diadegma trichoptilus,has parasitoid,,,https://www.catalogue.life/data/taxon/46651590-52d2-4c82-8a05-d65def89edf8,Hymenoptera,Ichneumonidae,"Diadegma trichoptilus (Cameron, 1909)","<i>Diadegma trichoptilus</i> (Cameron, 1909)"
338,,Cotesia diurnii,has parasitoid,,,https://www.catalogue.life/data/taxon/cdee1210-5c3d-4eb0-9b32-04881ae86c31,Hymenoptera,Braconidae,"Cotesia diurnii Rao & Nikam, 1984","<i>Cotesia diurnii</i> Rao & Nikam, 1984"
338,,Cotesia orientalis,has parasitoid,,,https://www.catalogue.life/data/taxon/a1b46847-8959-4329-bae9-e901e10eac30,Hymenoptera,Braconidae,"Cotesia orientalis Chalikwar & Nikam, 1984","<i>Cotesia orientalis</i> Chalikwar & Nikam, 1984"
1377,,Siphona lichtwardtiana,has parasitoid,1909,as Ceranthia lichtwardtiana,https://www.catalogue.life/data/taxon/4dcd5fc0-1208-4d95-bb2f-03494c1deffe,Diptera,Tachinidae,"Siphona lichtwardtiana (Villeneuve, 1931)","<i>Siphona lichtwardtiana</i> (Villeneuve, 1931)"
1377,,Cotesia pilicornis,has parasitoid,1909,as Apanteles pilicornis,https://www.catalogue.life/data/taxon/5ef6121f-55aa-4dd5-a185-f7873dbff7bf,Hymenoptera,Braconidae,"Cotesia pilicornis (Thomson, 1895)","<i>Cotesia pilicornis</i> (Thomson, 1895)"
