ID,parentID,nameID,scrutinizer,scrutinizerDate,provisional,referenceID,extinct,temporalRangeEnd,lifezone,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,genus,uninomial,species,remarks
162,18,162,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis olei,
163,18,163,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis omani,
164,18,164,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis pala,
165,18,165,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis paralia,
167,18,167,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis parvella,
168,18,168,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis picardi,
169,18,169,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis piccolo,
170,18,170,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis potgieteri,
171,18,171,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis prisoner,
172,18,172,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis protai,
173,18,173,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis protecta,
