nameID,relatedNameID,type,referenceID,remarks
1222,1223,basionym,1785,
559,560,basionym,1193,
576,577,basionym,1216,
1239,1240,basionym,106,
1142,1143,basionym,219,
1140,1141,basionym,219,
504,505,basionym,253,
510,511,basionym,689,
451,452,basionym,461,
902,903,basionym,719,
831,832,basionym,1875,
587,588,basionym,,
677,678,basionym,,
835,836,basionym,673,
694,695,basionym,,
960,961,basionym,1871,
1028,1029,basionym,697,
990,991,basionym,,
742,743,basionym,896,
735,736,basionym,1625,
1094,1095,basionym,,
863,864,basionym,1875,
825,826,basionym,1575,
1132,1133,basionym,1850,
596,597,basionym,1835,
759,760,basionym,1237,
820,821,basionym,,
795,796,basionym,1231,
844,845,basionym,1131,
854,855,basionym,1131,
859,860,basionym,1835,
1047,1048,basionym,1224,
922,923,basionym,,
940,941,basionym,1831,
878,879,basionym,1251,
1112,1113,basionym,1189,
1025,1026,basionym,1189,
609,610,basionym,719,
640,641,basionym,1844,
642,643,basionym,719,
686,687,basionym,1245,
614,615,basionym,1228,
699,700,basionym,1407,
709,710,basionym,1884,
717,718,basionym,719,
726,727,basionym,1228,
728,729,basionym,1054,
532,533,basionym,1054,
1204,1205,basionym,1189,
740,741,basionym,1207,
751,752,basionym,1790,
753,754,basionym,1790,
772,773,basionym,1884,
776,777,basionym,1884,
781,782,basionym,1189,
535,536,basionym,1189,
785,786,basionym,1242,
804,805,basionym,1245,
810,811,basionym,1883,
812,813,basionym,1763,
815,816,basionym,1790,
538,539,basionym,1237,
861,862,basionym,1884,
882,883,basionym,1790,
898,899,basionym,1189,
900,901,basionym,719,
920,921,basionym,1790,
931,932,basionym,1237,
936,937,basionym,,
944,945,basionym,1189,
946,947,basionym,1884,
953,954,basionym,1763,
986,987,basionym,723,
689,690,basionym,723,
968,969,basionym,1189,
979,980,basionym,1189,
999,1000,basionym,1790,
1002,1003,basionym,1790,
1019,1020,basionym,1790,
1041,1042,basionym,,
1049,1050,basionym,1228,
1060,1061,basionym,719,
1062,1063,basionym,720,
1068,1069,basionym,1189,
1073,1074,basionym,1189,
1075,1076,basionym,1790,
1100,1101,basionym,1790,
1108,1109,basionym,1790,
1110,1111,basionym,1228,
1121,1122,basionym,1790,
591,592,basionym,1763,
